lot_id,timestamp_hour,crop_type,temperature_C,humidity_RH,initial_quality,cnn_ripeness_score,transport_duration_h,T_ref_C,Q10,r_ref_per_day,delta_t_days,degradation_rate,cumulative_degradation_D,RSL_physics_days,RSL_actual_days,delta_RSL_ML_target_days,S0_days,degradation_increment
1,0,Tomato,23.05,71.84,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.8735728959166943,0.0363991618541609,9.963600838145839,9.8812,-0.08240083814583876,10.0,0.0363991618541609
1,1,Tomato,23.58,70.35,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.9062619382673343,0.07416037803594591,9.925839621964053,9.8013,-0.12453962196405399,10.0,0.03776121618178502
1,2,Tomato,24.35,76.2,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.9559453175937422,0.11399175158412438,9.886008248415875,9.6645,-0.22150824841587458,10.0,0.03983137354817846
1,3,Tomato,24.89,75.83,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.9924043746858187,0.15534226466415837,9.844657735335842,9.6979,-0.14675773533584113,10.0,0.041350513080034006
1,4,Tomato,25.95,79.54,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.0680654080478515,0.19984534602128823,9.800154653978712,9.8131,0.012945346021288273,10.0,0.04450308135712983
1,5,Tomato,25.81,87.5,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.057750963618427,0.24391865542237723,9.756081344577623,9.7226,-0.03348134457762342,10.0,0.044073309401089
1,6,Tomato,25.9,90.21,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.0643701824533598,0.28826776781466135,9.711732232185339,9.6723,-0.03943223218533909,10.0,0.044349112392284146
1,7,Tomato,28.18,81.64,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.2466011942750974,0.34020989977652183,9.659790100223479,9.5673,-0.09249010022347903,10.0,0.05194213196186049
1,8,Tomato,27.58,82.08,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.195819796776124,0.3900361232487926,9.609963876751207,9.4761,-0.1338638767512066,10.0,0.04982622347227076
1,9,Tomato,28.3,72.57,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.2570133745218284,0.4424120995249936,9.557587900475006,9.4284,-0.1291879004750065,10.0,0.052375976276201025
1,10,Tomato,33.93,78.66,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.857033704613458,0.5197891228951226,9.480210877104877,9.4624,-0.01781087710487661,10.0,0.07737702337012896
1,11,Tomato,27.49,71.15,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.1883831050569318,0.5693054817335298,9.43069451826647,9.2307,-0.19999451826646997,10.0,0.04951635883840718
1,12,Tomato,28.23,67.1,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.2509290801132664,0.6214279437146093,9.37857205628539,9.2106,-0.16797205628539125,10.0,0.052122461981079476
1,13,Tomato,27.39,68.8,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.1801743433362017,0.6706022680783987,9.3293977319216,9.3274,-0.001997731921600021,10.0,0.049174324363789525
1,14,Tomato,26.65,65.58,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.1211660780285087,0.7173178950516127,9.282682104948387,9.3346,0.05191789505161282,10.0,0.046715626973213874
1,15,Tomato,24.81,73.17,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.9869165458858418,0.758439746769038,9.241560253230961,9.149,-0.09256025323096218,10.0,0.04112185171742537
1,16,Tomato,22.6,61.05,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.8467453123625273,0.7937210836992474,9.206278916300752,9.0106,-0.19567891630075174,10.0,0.03528133693020943
1,17,Tomato,22.92,60.55,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.8657365655196585,0.829793729174755,9.170206270825245,9.165,-0.005206270825246051,10.0,0.03607264547550761
1,18,Tomato,23.3,66.24,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.8888426811665703,0.8668291371709226,9.133170862829077,9.0618,-0.07137086282907745,10.0,0.03703540799616749
1,19,Tomato,21.86,61.89,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.8044083709419158,0.9003464207629593,9.09965357923704,9.0403,-0.05935357923704032,10.0,0.0335172835920368
1,20,Tomato,26.92,60.0,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.1423462468485455,0.9479445618303977,9.052055438169603,8.9331,-0.11895543816960341,10.0,0.04759814106743835
1,21,Tomato,22.41,65.64,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.8356669589218535,0.9827642970077946,9.017235702992206,8.8513,-0.16593570299220595,10.0,0.03481973517739687
1,22,Tomato,23.33,62.68,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.8906929006066808,1.019876798097373,8.980123201902627,8.888,-0.09212320190262702,10.0,0.03711250108957857
1,23,Tomato,22.41,69.68,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.8356669589218535,1.05469653327477,8.94530346672523,8.8688,-0.07650346672522979,10.0,0.03481973517739687
1,24,Tomato,22.53,73.48,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.8426468295031517,1.0898070987196777,8.910192901280322,8.6797,-0.2304929012803214,10.0,0.03511056544490782
1,25,Tomato,24.05,72.64,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.9362722474344923,1.1288187544535309,8.871181245546468,8.6704,-0.2007812455464677,10.0,0.03901165573385299
1,26,Tomato,25.31,80.07,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.0217200827143014,1.1713907651399875,8.828609234860012,8.8232,-0.005409234860012546,10.0,0.042572010686456795
1,27,Tomato,24.39,82.87,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.9585994384929766,1.2113327279436745,8.788667272056326,8.7088,-0.07986727205632604,10.0,0.03994196280368686
1,28,Tomato,30.94,83.29,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.5094259685205598,1.2742259797740207,8.725774020225979,8.3979,-0.32787402022597867,10.0,0.06289325183034616
1,29,Tomato,25.53,86.6,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.0374199365656114,1.3174521562709,8.6825478437291,8.3006,-0.38194784372910107,10.0,0.043226176496879334
1,30,Tomato,26.71,80.8,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.1258385861367626,1.3643624726394605,8.63563752736054,8.4724,-0.16323752736053976,10.0,0.04691031636856049
1,31,Tomato,27.72,85.05,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.2074805914864961,1.4146745664449283,8.585325433555072,8.3148,-0.27052543355507197,10.0,0.050312093805467833
1,32,Tomato,28.55,83.66,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.278985581277429,1.467966058660015,8.532033941339986,8.1982,-0.3338339413399858,10.0,0.05329149221508663
1,33,Tomato,28.22,78.9,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.250062302585209,1.5200524046218329,8.479947595378167,8.2934,-0.18654759537816723,10.0,0.0520863459618179
1,34,Tomato,30.78,81.16,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.492778383296953,1.582252001518667,8.417747998481333,8.2217,-0.19604799848133325,10.0,0.062199596896834144
