lot_id,timestamp_hour,crop_type,temperature_C,humidity_RH,initial_quality,cnn_ripeness_score,transport_duration_h,T_ref_C,Q10,r_ref_per_day,delta_t_days,degradation_rate,cumulative_degradation_D,RSL_physics_days,RSL_actual_days,delta_RSL_ML_target_days
1,0,Tomato,23.05,71.84,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.87366,0.0364,9.9636,9.8812,-0.0824
1,1,Tomato,23.58,70.35,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.90602,0.07415,9.9258,9.8013,-0.1245
1,2,Tomato,24.35,76.2,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.95575,0.11398,9.886,9.6645,-0.2216
1,3,Tomato,24.89,75.83,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.99272,0.15534,9.8447,9.6979,-0.1467
1,4,Tomato,25.95,79.54,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.06827,0.19985,9.8001,9.8131,0.013
1,5,Tomato,25.81,87.5,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.05791,0.24393,9.7561,9.7226,-0.0334
1,6,Tomato,25.9,90.21,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.0645,0.28828,9.7117,9.6723,-0.0394
1,7,Tomato,28.18,81.64,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.24622,0.34021,9.6598,9.5673,-0.0925
1,8,Tomato,27.58,82.08,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.19576,0.39003,9.61,9.4761,-0.1339
1,9,Tomato,28.3,72.57,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.25742,0.44243,9.5576,9.4284,-0.1292
1,10,Tomato,33.93,78.66,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.85745,0.51982,9.4802,9.4624,-0.0177
1,11,Tomato,27.49,71.15,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.18845,0.56934,9.4307,9.2307,-0.1999
1,12,Tomato,28.23,67.1,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.25052,0.62144,9.3786,9.2106,-0.168
1,13,Tomato,27.39,68.8,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.18042,0.67063,9.3294,9.3274,-0.002
1,14,Tomato,26.65,65.58,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.12131,0.71735,9.2827,9.3346,0.052
1,15,Tomato,24.81,73.17,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.98674,0.75846,9.2415,9.149,-0.0926
1,16,Tomato,22.6,61.05,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.84654,0.79374,9.2063,9.0106,-0.1957
1,17,Tomato,22.92,60.55,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.86565,0.8298,9.1702,9.165,-0.0052
1,18,Tomato,23.3,66.24,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.88856,0.86683,9.1332,9.0618,-0.0714
1,19,Tomato,21.86,61.89,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.80425,0.90034,9.0997,9.0403,-0.0594
1,20,Tomato,26.92,60.0,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.1421,0.94793,9.0521,8.9331,-0.119
1,21,Tomato,22.41,65.64,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.8358,0.98275,9.0172,8.8513,-0.1659
1,22,Tomato,23.33,62.68,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.89052,1.01986,8.9801,8.888,-0.0921
1,23,Tomato,22.41,69.68,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.83595,1.05469,8.9453,8.8688,-0.0766
1,24,Tomato,22.53,73.48,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.84272,1.0898,8.9102,8.6797,-0.2305
1,25,Tomato,24.05,72.64,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.9362,1.12881,8.8712,8.6704,-0.2008
1,26,Tomato,25.31,80.07,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.0217,1.17138,8.8286,8.8232,-0.0054
1,27,Tomato,24.39,82.87,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,0.95858,1.21132,8.7887,8.7088,-0.0799
1,28,Tomato,30.94,83.29,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.50913,1.2742,8.7258,8.3979,-0.3279
1,29,Tomato,25.53,86.6,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.03715,1.31742,8.6826,8.3006,-0.382
1,30,Tomato,26.71,80.8,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.12589,1.36433,8.6357,8.4724,-0.1633
1,31,Tomato,27.72,85.05,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.20712,1.41462,8.5854,8.3148,-0.2706
1,32,Tomato,28.55,83.66,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.27933,1.46793,8.5321,8.1982,-0.3339
1,33,Tomato,28.22,78.9,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.25013,1.52002,8.48,8.2934,-0.1866
1,34,Tomato,30.78,81.16,0.876,0.412,3.97,25.0,2.0,1.0,0.041667,1.49235,1.5822,8.4178,8.2217,-0.1961
